Model Type,Test Type,Voltage,Turns,Added Mass,Drag Coefficient,Starting Distance of Tip From Coil 1,Coil 2 Distance Threshold,Coil 3 Distance Threshold,Coil 1 Duration,Coil 2 Duration,Coil 3 Duration,Coil 1-2 Delay,Coil 2-3 Delay,Max Velocity,Exit Velocity
actual,Submerged,135,actual,20,2.92762,0,1.75,2,56.5,52.5,55,15,7,53.90081501,13.29889163
actual,Submerged,135,actual,40,2.92762,0,1.75,2,59,53.5,55.5,15.5,7,52.82096313,14.75702605
actual,Submerged,135,actual,60,2.92762,0,1.75,2,61,54.5,56,16,7.5,51.80306264,16.06165058
actual,Submerged,135,actual,80,2.92762,0,1.75,2,63.5,56,56,16,7.5,51.28539846,17.25024583
actual,Submerged,135,actual,100,2.92762,0,1.75,2,66,56.5,57,16.5,7.5,50.63051118,18.30848544
actual,Submerged,145,actual,0,2.92762,0,1.75,2,50,47.5,50.5,13,6.5,59.97727211,12.91105224
actual,Submerged,145,actual,20,2.92762,0,1.75,2,52,48,50.5,14,6.5,58.78065279,14.64210088
actual,Submerged,145,actual,40,2.92762,0,1.75,2,54.5,49,51,14,6.5,57.60152364,16.20026928
actual,Submerged,145,actual,60,2.92762,0,1.75,2,56.5,50,51.5,14.5,6.5,56.59803935,17.62521104
actual,Submerged,145,actual,80,2.92762,0,1.75,2,58.5,51.5,52,14.5,6.5,55.97421609,18.93104495
actual,Submerged,145,actual,100,2.92762,0,1.75,2,60.5,52,52.5,15,7,55.35285063,20.09862251
actual,Submerged,155,actual,0,2.92762,0,1.75,2,46,44,46.5,12.5,6,64.9045896,14.12461878
actual,Submerged,155,actual,20,2.92762,0,1.75,2,48.5,44.5,46.5,12.5,6,63.66880244,15.98946105
actual,Submerged,155,actual,40,2.92762,0,1.75,2,50.5,45,47,13,6.5,62.40157676,17.70031642
actual,Submerged,155,actual,60,2.92762,0,1.75,2,52.5,46.5,47.5,13,6,61.45820013,19.21714955
actual,Submerged,155,actual,80,2.92762,0,1.75,2,54,47,48,14,6,60.78979723,20.60391665
actual,Submerged,155,actual,100,2.92762,0,1.75,2,56,48,48,14,6.5,60.23416949,21.94788286
actual,Submerged,165,actual,0,2.92762,0,1.75,2,43,40.5,43,11.5,6,69.85461092,15.27514464
